text,n_likes
"Glass is one part of the equation. These objectives are specifically figured, based on the design of two legends of the business. Ask anyone who has a LOMO or TMB designed objective in this size class. For visual observers, this scope will take more magnification with less spurious color than cheaper designs. For AP, the benefits should be obvious. I'll bet they stay priced at a premium in the used market as well. They're not for everyone, and that's just fine - but like many hobbys, the cost slope to get the very best gets very steep towards the end",2
"Explore is also using FCD100 in some of their designs. Their 80F6 triplet is less expensive, but the design is more ""common"", the manufacture has probably already it on the shelves. Which is a different story for the AT92.. Yes, the difference between FPL51/FCD1/FK61 and FPL53/FCD100 is obvious for AP.. On the 80mm F6 triplet, the FPL51 is still acceptable. At the edge, but still good enough for many users.. But with 92 and at F5.5, FPL53 is mandatory, and there is not much margin if any..",1
"1) I understand 48mm with your generic flatener, is it right? which flatener exactly?. because I had the 2"" AT FF with the AT106, but its output has T2 thread i.e. less than 42mm of free aperture. However, its quality and performance are excelent together with the AT106. So is there any larger FF which fits into the 2.5 focuser?. 2) Any idea of the weight yet ? Between the TMB92L and the TMB92FT ? about 3Kg?.",0
"1. The image circle was calculated without the flattener by the lens manufacturer. We will get one in hand and put it through its paces to verify everything. We will have a dedicated flattener to will attach to the focuser after we get one here to verify all the measurements. It will be sent off to Roger and he will work on the design when he isn't working on 3 meter mirrors. lol. 2. No clue on weight, but I believe you are on the right path..",1
"Mike, forgive me if this was already covered somewhere, but I can't find any details. Will this come with a 2.5"" Feathertouch focuser like the original TMB92? The cost of the scope suggests that it should, as the original was roughly the same price and almost a quarter of the cost of the scope was the focuser. Otherwise I suppose I'm curious where the money is going in terms of production cost and product value. I would expect most people to want a premium focuser on a premium little scope like this... I know I would.. I'm also curious about the potential price of the dedicated flattener. I assume it will not be cheap in any sense of the word, but from what I've seen from similarly fast scopes, it will absolutely need one, maybe even for visual observation.. Oh, how this scope torments me... I am going to cross my fingers and hope that the economy gods smile upon me. I don't want to miss out on this. But it's going to be ungodly expensive for such a small scope..",0
"It doesn't come with the 3"" FT as the original. The $700 price point was too pricey and we feel the upgraded version of the EDT focuser is going to give the FT a run for its money in most categories. When the original TMB92 was released there wasn't any other real option out there and Werner made the 3"" FT specifically for our scope. Over the past 7 years or so the focusers have improved dramatically.. That being said, the closet current competition is the CFF 92 at f/6 with a 3"" FT focuser that runs $3600 USD, roughly double the cost.. I think we are right on target with our pricing of the 92 as we have ""updated"" the design and kept cost split between the two old scopes even though our lens cost went up 55% since we last had them produced..",2
It won't need a dedicated flattener for visual. The TMB92 has been out in the field for years and has never had a dedicated flattener. It has been an awesome visual instrument as well as photographic instrument..,1
"Yikes, a 55% increase in lens cost? Well dang, consider me uninformed. Is that due to shortages of FPL-53 or another necessary resource? I know inflation hasn't devalued the dollar that badly.... I appreciate the transparency; it certainly makes me feel more confident about purchasing from you. But it still stings to think about dropping $2000 on the scope and then likely another $300-500 on a flattener and then another $100-200 on a case, etc etc... and that's again without a Feathertouch. It all adds up. But I digress... this is the cost of the hobby, it just hurts to see when seeing numerous TMB92SS sold on CN for $1500, with the FT and a case.. I'll just keep on dreaming over here. Thanks Mike..",0
We will see about the flattener. It really comes down the economy of scale for it.. It is a number of things that raised the price. The number would have been higher if we didn't hit a certain Minimum Production Quantity..,1
"I was thinking of the Esprit 80 or Stellarvue 80 for getting into imaging. Would the AT92 pair well with the Sky-Watcher AZ-EQ5? That combo would travel well, I think..",1
When are these expected to arrive?. -Jim.,0
I'd think that would work very well. You certainly wouldn't be undermounted..,1
"Mike's original email said ""1st quarter 2018 if all goes well"". Here's hoping all goes well",2
We look to be on that schedule still..,3
"I have learned that patience has its rewards. When it came to the AT 130EDT, I was patient, and I was rewarded. Richly..",4
"There is an XT10 to figure into my equation. I'm still not clear on whether that mount can run an XT10 and an 80mm in alt-az mode together. But that's for another forum.. Would the ZWO ASI-1600 be a good match for this scope? I was thinking of 1.25"" RGB filters but I'm not sure with the bigger circle of this 92, so maybe the next size up..",0
"You'd be lucky to get the AZ-EQ5 to hold an XT10 tube, maybe for visual but I'd be wary for imaging. You'd probably want to step up to the AZ-EQ6 for that. You will probably have to go to 2"" filters for the large image circle of the AT92, especially if you end up using a flattener that is also a reducer. The image circle is 48mm without a reducer, so I think 2"" is necessary, which gives you 50.8mm of coverage. I think the ASI1600MM would be an excellent choice but there are so many technicalities with sensor and pixel size that I'll tell you not to take my word for it. I'm still learning a lot about imaging myself so I'm looking forward to seeing what someone else says..",1
"The XT10 on that mount would be strictly visual, except for Lunar/Solar. When I am ready to capture images it would come off and the fast refractor would go onto the mount in EQ mode. The plan is to have a nice outeach setup, a good beginning wide-field imaging setup, and then to use the 10"" reflector on its dob base if I get tired of looking at a laptop..",0
fpl-53 for a lot less. f/5.5 can you say chromatic abrasion.,0
"Are you thinking the AT92 will have a lot of chromatic aberration? It's tough to combat at such fast focal ratios, but this is a triplet with FCD-100, Lanthanum, and an unknown third element, with the design coming from Thomas Back. I have a feeling chromatic aberration will be very hard to see with the AT92, in visual observation or imaging..",2
"I'll assume you mean chances of ""chromatic aberration"" with respect to the AT92. The answer is: Slim and none, and Slim just left town..",5
Feel free to read the Sky and Telescope review of the original TMB92 that the AT92 takes it heritage from. I think you will be pleasantly surprised..,2
"I'm also curious as to how the AT92 will fair optically vs the esprit 80. I like that the esprit is f5 (wider FOV), granted, the AT92 will be, by all accounts, great visually and photographically, whereas by all accounts, the esprit is not so great visually. My primary concerns are optical quality and FOV. I'm thinking of the AT92 too, but it's FOV calculates to around 120 arcminutes with the ZWO ASI 1600MM camera, whereas the esprit 80 manages 150 arcminutes. I want to avoid stitching, and be able to image the larger widefield nebulas. By all accounts, the esprit range has very good optics (photographically). Both are priced pretty similar when it comes down to the poor Aussie dollar. Another advantage to the SkyWatcher esprit for me, is that it's available locally, with a local warranty, whereas if I buy the AT92, I'll have to pay high shipping costs back to the US of A.... Since both are APO triplets, and similarly priced, they should, in theory, perform similarly from an optical point of view. I can't find anywhere that states whether the esprit 80 uses FPL-53 elements or not. Decisions, decisions!.",0
"Judging from what you want to do, I think you have already made your decision. As for whether the Esprit uses FPL53 glass, the video they put up says it does..",1
"yes, I saw that after I had posted my early reply. Schott/FPL53/Schott I believe..",0
What's the image circle on the Esprit 80? I've been looking at the Stellarvue 80 and I think the increased size and bigger filter requirements for the AT92 may hold me back. Maybe..,0
"this page:. https://www.astronom...-refractor.html. says the imaging circle is 33mm. I don't know if that's correct, but I have read that on another website too (but can't remember which one). For me, that's not an issue, since it should be fine with the ZWO ASI 1600MM-C that I'm interested in (at least, as far as I understand, it should be fine). At worst case scenario, I suspect the corners may have vignetting, and images may need to be cropped. Someone, please correct me if I am wrong! I'd rather be wrong, and corrected, before I spent any money!!!!!!. edit: I was looking at the 1.25"" zwo filters for their EFW, I wonder if that'll mean that not all of the imaging circle will be within the radius of the filters then?). Again, please correct me if I'm wrong!.",0
"If you are looking for an Esprit, I would hold off a few more days.....",1
"Thanks for the heads up Michael - I believe SkyWatcher are gonna have their esprit range on sale [in the US]. The problem is:. a) I'm in Australia. b) the Australian dollar is very weak vs the greenback. c) shipping is pricey (must include insurance too!). d) item will be >= AUD $1k on arrival in Australia, and will subsequently attract a 5% import duty and then a 10% GST on the original items value + 5% import duty + shipping costs! There's a reason why Australia is considered the 2nd highest taxed country in the world...but then again, our pollies (Aussie slang for politicians) need to book 75 km helicopter flights to private weddings you see (with public tax payers monies)! Yes, that was a snide political remark at our back boneless lazy and good for nothing politicians. I could tell you a nice joke about Australian politicians, but it's probably better to be done privately lol! Note that the Australian prices on the esprit range are actually cheaper than the standard US prices (after US ==> AUD $ parity conversion etc). SkyWatcher Australia has been very aggressive with the pricing in Australia to push the range to local consumers. That makes it even harder to justify from buying overseas and privately importing said goods into the country! In the end, it actually works out more expensive for me to privately import said item from the US to Australia, than if I'd actually just bought it locally...and Australian customs misses nothing - they'd charge the hell out of a fly on a dunny (dunny is Aussie slang for toilet if you dont' know) in order to make a buck if they could ;-). Then there's no local warranty, and shipping said items back to the US for issues gets rather expensive very quickly!. Note: if I've misunderstood the gist of your post, please correct me!.",0
New Astro-Tech product hype???!!?.,0
My note was pointed towards to the gent in the US as we aren't able to ship Sky-Watcher outside the US due to the dealer agreements that every US dealer signs. Sorry for the confusion..,1
"Ahh! That's easily avoidable, I have a US proxy shipping address ;-). but it's still not financially viable anyway!.",1
"I own AT111EDT, AT72ED and have used 65EDQ, I like all.. I am looking for a faster scope for wide angle AP, preferably in F4, 400mm focal length range.. Based on information in the post:. - How good is the focuser? and what is the payload? Do you provide option to upgrade focuser to FT as Stellarvue does? I think all 3 AT scopes weakest link is focuser, I feel that they either slip or wobble under 8lbs load (which I current have). So I replaced them with Moonlite.. - Any plan to have dedicated reducer to get it to F/4? Another candidate I am looking at is SVQ100, which is said to have F/4 reducer.. - Is it going to support full frame CCD with flattener and/or reducer?. Thanks.",0
"34d party focusers such as feathertouch and moonlight are always going to surpass stock focusers imho, as they are a lot more expensive. 8lbs is a lot!. I think I saw someone answer the imaging circle question, but can't find it now and can't remember the exact answer off the top of my head. I'd expect the AT92 to very similar, if not near identical to the well respected TMB92SS..",0
"The focuser is very nice. It will be a step above our focusers on the EDT series. We do not have an upgrade route for the focuser. 8 pounds is a ton for those focusers. Usually the weight limit is around 5-6 pounds, even on the 2"" Feathertouch models. I have been given a quote of 10 pounds or so on the focuser that is on the 92.. You may want to double check the information on the SVQ100. They don't list a reducer for that scope. It might be hard to come by as we don't have a reducer for the 65 due to the built-in flattener. I have a feeling SV is running into the same problem.. I am pulling this from memory, but I believe the image circle is right at 44mm on the 92..",1
"SVQ reducer is not yet available but I think they are working on it, according to my friend who owns the scope. There are not many choices on short focal length, fast scope. I think SVQ wants to compete with TAK FSQ, which traditionally has issues with their mechanicals. I believe 92 could be another contender (with dedicated reducer) in this market segment, but then focuser is very crucial for F4 system since it might have alignment issue with large payload.. AT65EDQ is really nice, I could get flat FOV on full frame DSLR (though with much worse vignette on corners), but it is a bit slower.. BTW, for 8300 CCD, is flattener required to get flat FOV? or it is only required for full frame CCD?.",0
"Mike, is there any expectation for when we might see a prototype of this here scope?.",0
"I would hope shortly, but I don't have a solid date yet..",0
Do we have an idea of the weight of this scope?.,0
We'll know when we get the production prototype in for testing..,1
"I believe Mike has said it will be somewhere around 3kg, probably a little over. Looking forward to seeing the prototype!.",1
"A big difference between the TMB92SS and TMB92L is the weight, due in part to the L not having a collimatable cell. Will the AT92 have a collimatable cell?. I wonder how this triplet design would compare with the equally-fast fluorite-doublet design of the Borg 92FL? I note that the Borg does not use a collimatable cell, yet it was designed as a portable 'scope and presumably able to withstand the inevitable bumps and knocks, so maybe 90mm-size is in the goldilocks range of not requiring complex and heavy cells?.",0
Bump...  any further word on....  Prototype arrival?.  Weight?.  Still on schedule?. Alex.,0
I am looking at the AT 92 triplet as a potential upgrade of my current 80ED scope. Eagerly waiting for some news - testing or otherwise to get some more details. Thanks all (and Mike & Fred) for their generous contributions here..... Anil.,0
Still on schedule. Nothing on the other two yet..,1
"Mike, to clarify... does on schedule still mean Q1 2018? And if you could say, would you say sooner or later in Q1? Forgive me if I'm mis-remembering. Thanks!.",0
"We were hoping for end of January 2018. I asked for an update yesterday, but I have not made it into work yet to check my mail..",0
The sample should be finished this week. With any luck we will see it next week..,2
Exxxxxxcellent. That is very very good news Mike. I may fight off this Takitis after all! End of January is honestly not that far away....,0
We have the original TMB92 here to test it against and verify it is all it should be..,5
"Hot business. Are you going to do a full optical bench to compare them, as well as a real night under the stars, or just an optical bench? Or how are you going to compare them? And... one last thing, when you get the time, I would also love to get some final measurements for LxWxH, as well as the weight. Thanks Mike!! Really looking forward to seeing some photos and hearing how it compares to the original..",0
We will do under the stars. When we get it here we will take all the measurements and post them..,1
Just curious as to whether there is anything new to report. No pressure..,0
"I'm also eager to hear! I'm especially curious about how much it weighs. If it's not too much trouble, could you weigh the dew shield and maybe focuser by themselves? Trying to figure out how much weight I could save if I modded it with lighter materials, to maximize its portability for travel..",0
"Being that it's a rainy night in Georgia, time to give this another bump.. Has the sample arrived, and if so, was it tested and deemed satisfactory? Any specs yet?. Thanks!. Alex.",0
It was at94 Strehl.  They are continuing to work on it so it hits the95 minimum.  I also assume finishing up our 102 and 60EDs have gotten in the way.,1
"Thanks for the update, Mike!. Alex.",0
"Mike, do you think the 102's are headed this way yet?.",1
Happy 2018 everyone!. Bumping this topic up - keen to hear the latest news re: the AT92..,3
Just gonna go ahead and uh bump this thread real quick... would love to hear how the reworked optics are coming..,0
"Jay, reading of your experience with the Borg, I was about to ask if you were still considering the AT92. :-). Still have mine on order, and am hoping for an update as well. My main concern is that they get things right, so a bit of a delay is not that big a deal. Alex.",1
"I'm really curious about the weight honestly! Once Mike clears the optics I wouldn't worry too much about them. If it can be reduced to a low weight, only a little more than the 90FL, then it might be the better scope..",0
Agreed. Hoping the weight comes in less than or at least close to my TV-85. Alex.,0
More silence from Mike (in the AT102ED thread too)... wonder what's up. Maybe he's been on vacation since Christmas! I wish I still was....,0
"Hmmm, it's been I think two months now since there's been any more news from our sponsor. Hoping everything is going ok.. Alex.",0
"Got on the list for this scope after thinking an 80mm scope was the right size. Just can't get away from maximum aperture while maintaining a ""grab-n-go"" sized scope. Hopefully we'll be able to test them out in March!.",0
I managed to get Mike to comment on this.https://www.cloudyni...q/#entry8400586.,1
Good to know. Thanks for passing on the information. I see you have the Stellarvue M2C. I'm interested in this mount for the AT92. Are you happy with it?.,0
"I was a little fussy with it at first because I wasn't used to the tension knobs moving the axes directly (was using an AYO II) and I had to learn how to balance it properly. After about an hour of cumulative use though, I figured out the balance midpoint for my typical eyepieces, and the tension knobs have notloosened up but they aren't stiff or hard to turn now. I actually quite like the mount; it's incredibly smooth compared to my UniStar Deluxe, which people love to recommend. I think the M2C would be ideal for the AT92, absolutely. It works great with my TV-85..",0
"Thanks for the feedback. I'm also thinking of the Losmandy AZ8 so I could use another scope at the same time, but they seem to be in very tight supply..",0
You might inquire about just getting an AZ8 mount head and buying your own tripod for it. That's what I did when I found out that getting parts for the Losmandy tripod was where the big holdup was. Not sure if that is still the case but worth looking into..,1
"Thanks mogur-I think I did see one site with just the mount, but it might be gone now. I was a little slow figuring that out. I have some time so maybe I’ll get one by the time the scope is available. Seems like all the stuff I like is back ordered, or not available yet.",0
Just ordered the At92 I heard mid March. Can anyone elaborate? Will be my first triplet. Really happy with my other two At Scopes. This one will hopefully be that much better!.,0
"I called a week or two ago, and they said that they were ""putting the finishing touches"" on the scopes, whatever that means. They did say that it would take a month or so from when they get notice of shipment, to when they could ship to us. At that time they did not have a date. So every day that goes by without word, I assume at least another month. Have had one on order since August. At this rate I may get the call from Astro-Physics first. :-). Alex.",3
Good things come to those who wait.. Curious to hear reports on this scope once in people's hands..,1
How much does the AT92 cost?.,0
"About a 40XW, 30XW, plus a 12.5 Docter. :-). Maybe a tad less. Or $1795.",1
If you are a CN member that’s worth a 5% discount. Just mention when you order to get the 5%..,1
Thanks for the update. I didn't mention the cn member. I forgot about that. Better fix that. 90.00 discount..,0
Call them and let them know..,0
Thanks Don w I emailed them and let them know..,0
Bump! Would love to learn more about this - any dates to report?.,0
"Will it be binoviewer friendly, even without the removable section the TMB 92 had? Shawn",0
"I was really excited about this when announced, and placed my order back in August, thinking perfect travel scope. But as the makers have been ironing out the wrinkles, I've now become a lot more comfortable traveling with my 4-inch refractor, and enjoying its great views. Have been wondering of late whether or not to just move on. Either way, I hope they get things right soon and have a great product to offer. Alex.",0
"Getting awfully close to the end of Q1, hoping Mike and crew can deliver. It's looking like they won't, unfortunately. I'm really curious to hear how these perform but the silence makes me worry just a little.. Alex, you have to get one so you can tell me how it compares to the TV-85!!.",2
"Perhaps some good news for those considering a pre-order - I reached out to astronomics about remaining availability in their initial production run and was given this answer:. ""We will have plenty in stock with this initial run and you can place an order now and no charge is done till it is ready to ship."". Edit: Was also just told ""we are still looking at a first quarter availability""..",0
If you’re comfortable with the 4” you should just enjoy the additional aperture it provides. I think the main advantage of a 90 mm scope is mainly compactness.. Patrick.,1
"And the 92 would hopefully have less robust mounting requirements. Am currently trying out the Vamo Traveler mount, a great travel mount, with the 4-inch, and if it works out, I'll probably stick with the 4. The AT92 would hopefully not have a problem with the mount. Alex.",0
"I will compare it to the TV-85 and the AP105, and I can already tell you now how it will turn out. All three will be excellent and have certain advantages and disadvantages. I won't be able to make up my mind, and will then have money tied up in three travel refractors. With no money left to travel!. Alex.",4
Just wanted to revive this thread. Has any body heard anything from our awesome sponsor about when these babies are going to roll into town? I can't wait to image through a good triplet!.,0
Q1 has come and gone! Bummer. Hoping Astronomics has some treats for willing early adopters soon!.,0
Why not call Mike and ask him and then post. If he's able to read this post he may respond himself..,1
"Bump.. I hope our our sponsors don't see these posts and bumps as being a pain in the rear, but rather as an indication of the excitement about this product. Anxiously awaiting product release or updated information. Alex.",0
I was told by the gentleman at our sponsors that they are wanting the scope to be 100% before they get shipped. Better to wait for a perfect scope than get a half baked scope quickly. We have to be patient.☺.,2
"100 percent in agreement with their philosophy. I don't think anyone minds the wait if there is a superior telescope shipped at the end of the wait. I see this, and possibly they do too, as maybe their flagship product..",2
I hope it becomes their flagship product. A 92mm refractor is such a nice size to own by virtue of its size:weight: performance ratios. The price of the AT 92 will allow many more folks to own a quality refractor of that aperture..,2
"Yes. And given the 92's esteemed heritage, they should consider tweaking the name, maybe something like AT92-BC.. Alex.",0
"Maybe the AT92-Q2, given its release date.... Sorry, I'll show myself out.",4
That's funny rusty.,0
Of course we would love for it to be 100% before shipping. Many products today are not. If I had any complaint it would be with communication and nothing else. It seemed foolish of them to say they are still expecting it to ship in Q1 when the end of Q1 is a week or two away with literally no details about the fixed prototype or the shipment of a bunch of them on a slow boat from China. Why not say it will likely be early-mid Q2? What happened to under-promise and over-deliver? What happened to Mike? He was super active in this thread but has been basically absent since the new year started..,0
Maybe there are other more pressing things Mike is working on..,0
"Doesn't take much to give a quick update :\. I think Jay's comment is spot on, unfortunately..",0
Honestly at this point I just hope everything is OK with him because he has hardly posted at all on CN. Hopefully we hear from him soon..,1
"Yes, like overhauling the website..",0
"Or perhaps family, health or other issues. Not that I know and I do not.. Selling astronomy products and services Mike and his family are doing a great service in a industry that is relatively small. So my thoughts are if you are really interested in this product or ANY product Astronomics sells as it's own, please be patient as they are not a big company with deep pockets. They rely on their vendors, if Astronomics is going to put their name on a product they want it to be sure what they advertise is going to be what the customer gets before they release it,...because each of those AT products put their reputation on the line..",2
"Astronomics is a business that makes a profit from customers like us. We don't owe them anything for this ""great service"" they provide us (as Astronomics, CN aside). I have no doubt it is not easy running a small business in a niche industry so please don't mistake my criticism for a lack of empathy. All I'm saying is bad communication is bad for business..",1
Well I hate to say it Jay but that's really how it reads..,3
"Not much I can do about that. Your comments read as if you're making excuses for and defending the vendor in a situation where you also have no idea why they're acting the way they are. I've given them the benefit of the doubt continuously but at a certain point they're hurting their client prospects and loyalty (not for customers like you though). I have respect for what they do but at some point poor business practices will hurt them. I had a similar situation happen in the mechanical keyboard community; a vendor (Keyclack) launched a partnership for a new board and started the group buy. Got everyone's money, probably around $125k, and sent it on for production and whatnot. The board was supposed to be finished in May 2017 with shipping in June to buyers. In May it was revealed it would not be on time. Details got more and more sparse in the following months and there was a period of a good few months without a single word from Keyclack. Many people emailed them for refunds. Many people were outspoken on the forums. You know what the overwhelming opinion was? ""I don't care if I get my board late, I just want to know what the heck is going on and if I'm even going to get it at all."" This is the same sentiment I have expressed regarding the AT92, nothing more. BTW, I eventually got my board in November 2017, almost a full 6 months after I was supposed to get it. Some people got theirs even later, I was in the middle of the group. No one in the mechanical keyboard community even trusts Keyclack anymore (or the founder who took on way too much and then decided to vanish) which is a bummer because they were professional for a while and the owner seemed to be a decent guy.. I am not saying Mike and crew are bad people. I'm not saying they're idiots. I'm saying their poor communication is going to hurt their business and as a prospective customer I would like better communication. We shouldn't unconditionally defend the ones we care about; we should know when to be straight with them, so that they may improve. I want to see Astronomics improve; I want to see an awesome AT92; I want to see more custom designs from Astronomics as well. I want Astronomics to cement their position as a retailer that offers you something the other 10 can't, and that means providing more frequent and more detailed communication (and I'm NOT talking about those darn Sky-Watcher Maksutov sales emails)..",0
"Agree with you, Jay - in business, communication is everything. Of course we all hope the lack of communication is not due to poor health or similar but, given Astronomics has taken pre-orders for this product, someone from the company (doesn't have to be Mike) really should take a moment out of their day to provide an update. I'm sure all would understand the delay if kept informed. This happens all the time in my business, which also involves complicated and somewhat niche products dependent on specialised parts only available from a handful of vendors - customers understand (within reason) as long as they feel informed.. If you don't communicate and provide updates customers become concerned and draw their own conclusions, usually to the detriment of your brand.. unfortunate, but this is just a fact of life and human nature!.",0
"You guys need to get a life. Really. Astronomics provides this site free for all of you to **** and complain. This business is a tiny, tiny niche with little to very slim profit margins. If you can't be patient, go somewhere else.. It gets really old..",5
"I think the folks at Astronomics would like to avoid this, which is exactly Jay's point..",1
"Sure they would. But where are you going to go? All the TMB92SS have been sold. There was one on CN's classifieds a couple of weeks ago and it sold within an hour or so. The CFF 92s are much more expensive. So where exactly are we to go? Yes, we could go to an 80mm scope (whether an AT or ES or SW or Tak) or a 100mm scope (same).. But can we really pop into Walmart and get one? How about putting your order on Amazon? Maybe they can ship it overnight if you have a Prime membership.. Please understand. Astronomics puts their money on the line and special orders a run of these scopes to sell to the community at a price which is really great. It is not just a matter of calling up China and say stick it on a containership so we can sell a few thousand copies. They are trying to control the quality as well. This is a very low unit volume market. As in very low. Extremely low.. So it is always frustrating to wait. I'm sure Michael is working his best to get these out, just as he did with the recent slew of AT 80s, 115s and 130s.. Continuing to rant on these forums is not going to change anything.. But, heck, maybe you can go somewhere else. Please let us know where that might be..",1
"The problem is that none of what you described precludes them from communicating delays with folks who placed pre-orders.. I don't think anyone here isn't being understanding of setbacks, regardless of their nature. The only complaint is a lack of an open line of communication, especially following the recent missed deadline.. I think that's all I'll contribute to this discussion. It seems as though we're going in circles..",1
"I check in to this thread regularly. When I see there are new posts, I'm curious about possible new information. The majority of the thread has been positive. Excitement for this telescope is real and justified. I'm anxious to see it, as are many here.. But when I tune in here and see accusatory remarks and criticism, I get very turned off. I may even agree that the communication hasn't been good recently, but I accept it. No amount of _____ing and complaining is going to help anything. As someone mentioned earlier, it gets old. And as said earlier, nobody owes anybody anything. OK, we get it. I'm sure I'm not the only one who would love to see this thread go back to it's happy place. When I see a new telescope coming out with TMB in it's pedigree, it makes me happy.",3
